,MW_MB,MW_MW,MB_MB,MB_MW,FW_FB,FW_FW,FB_FB,FB_FW
acisw-003,0.0001,0.001,0.0005,0.0001,0.0002,0.0044,0.0014,0.0003
bresee-000,0.0007,0.001,0.0009,0.0007,0.0011,0.0018,0.0017,0.001
intellifusion-002,0.0003,0.001,0.0015,0.0003,0.0006,0.0016,0.002,0.0007
shaman-000,0.0011,0.001,0.0018,0.0011,0.0015,0.0015,0.0023,0.0015
yitu-003,0.0001,0.001,0.0013,0.0001,0.0002,0.0021,0.0024,0.0002
sjtu-002,0.0001,0.001,0.0009,0.0001,0.0002,0.0016,0.0026,0.0002
rankone-009,0.0002,0.001,0.0013,0.0002,0.0002,0.002,0.0026,0.0003
intellifusion-001,0.0004,0.001,0.0015,0.0004,0.0006,0.0019,0.0027,0.0006
tongyi-005,0.0002,0.001,0.0023,0.0002,0.0003,0.003,0.0028,0.0003
realnetworks-003,0.0002,0.001,0.0028,0.0002,0.0001,0.0013,0.0029,0.0001
paravision-004,0.0002,0.001,0.0023,0.0001,0.0001,0.0019,0.003,0.0002
realnetworks-002,0.0002,0.001,0.0024,0.0002,0.0001,0.0015,0.0031,0.0001
intelresearch-001,0.0001,0.001,0.0015,0.0001,0.0001,0.0008,0.0033,0.0002
shaman-001,0.0002,0.001,0.0027,0.0002,0.0002,0.0017,0.0038,0.0002
cybercore-000,0.0002,0.001,0.0007,0.0002,0.0006,0.0031,0.0039,0.0007
rankone-008,0.0002,0.001,0.0015,0.0002,0.0003,0.0022,0.0039,0.0004
ceiec-003,0.0001,0.001,0.0014,0.0001,0.0002,0.002,0.0041,0.0002
vocord-008,0.0003,0.001,0.0021,0.0003,0.0003,0.0017,0.0042,0.0003
aimall-003,0.0004,0.001,0.0019,0.0004,0.0006,0.0018,0.0043,0.0006
sensetime-003,0.0003,0.001,0.0019,0.0003,0.0005,0.0018,0.0044,0.0005
shu-003,0.0004,0.001,0.0021,0.0003,0.0005,0.0018,0.0044,0.0005
psl-003,0.0001,0.001,0.0008,0.0001,0.0003,0.0023,0.0045,0.0003
intelresearch-002,0.0003,0.001,0.0017,0.0002,0.0004,0.0017,0.0045,0.0005
bioidtechswiss-001,0.0002,0.001,0.0025,0.0002,0.0002,0.0025,0.0046,0.0003
tech5-005,0.0002,0.001,0.0025,0.0002,0.0002,0.0026,0.0046,0.0003
psl-005,0.0001,0.001,0.0008,0.0001,0.0004,0.0033,0.0047,0.0004
deepsea-001,0.0003,0.001,0.0019,0.0003,0.0005,0.0022,0.0048,0.0005
camvi-004,0.0004,0.001,0.0018,0.0004,0.0007,0.002,0.0049,0.0007
vocord-007,0.0002,0.001,0.0014,0.0001,0.0003,0.0029,0.005,0.0004
glory-001,0.0004,0.001,0.0015,0.0004,0.001,0.0026,0.0053,0.0011
oz-001,0.0001,0.001,0.0008,0.0001,0.0003,0.0038,0.0056,0.0003
ceiec-002,0.0002,0.001,0.0024,0.0002,0.0002,0.0024,0.0057,0.0002
starhybrid-001,0.0004,0.001,0.0017,0.0004,0.0009,0.0044,0.0058,0.0009
iqface-002,0.0002,0.001,0.003,0.0002,0.0003,0.0017,0.0058,0.0003
vigilantsolutions-008,0.0003,0.001,0.0012,0.0003,0.0007,0.0033,0.0059,0.0008
microfocus-001,0.0002,0.001,0.0063,0.0002,0.0001,0.0009,0.0059,0.0001
s1-001,0.0001,0.001,0.0014,0.0002,0.0003,0.0022,0.006,0.0003
innovatrics-007,0.0002,0.001,0.001,0.0002,0.0004,0.0014,0.0061,0.0004
sjtu-001,0.0002,0.001,0.0023,0.0002,0.0003,0.0027,0.0063,0.0003
ntechlab-008,0.0003,0.001,0.0043,0.0003,0.0003,0.0023,0.0064,0.0004
hik-001,0.0001,0.001,0.0017,0.0001,0.0003,0.003,0.0064,0.0003
facesoft-000,0.0002,0.001,0.0032,0.0002,0.0003,0.0018,0.0065,0.0003
adera-001,0.0001,0.001,0.0033,0.0001,0.0001,0.0022,0.0065,0.0001
imperial-002,0.0002,0.001,0.0026,0.0002,0.0004,0.0019,0.0065,0.0004
ptakuratsatu-000,0.0001,0.001,0.0011,0.0001,0.0004,0.0017,0.0068,0.0004
awiros-001,0.0001,0.001,0.0016,0.0001,0.0002,0.0025,0.0069,0.0002
vigilantsolutions-007,0.0002,0.001,0.0015,0.0002,0.0006,0.0032,0.007,0.0006
bioidtechswiss-000,0.0003,0.001,0.0043,0.0003,0.0003,0.0026,0.0071,0.0003
shu-002,0.0001,0.001,0.0026,0.0001,0.0003,0.0044,0.0072,0.0003
idemia-006,0.0002,0.001,0.0028,0.0002,0.0004,0.0021,0.0074,0.0004
cuhkee-001,0.0002,0.001,0.0027,0.0001,0.0003,0.0019,0.0075,0.0003
ercacat-001,0.0002,0.001,0.0027,0.0001,0.0003,0.0019,0.0076,0.0003
imperial-000,0.0003,0.001,0.0041,0.0002,0.0003,0.0017,0.0077,0.0003
dahua-004,0.0002,0.001,0.0019,0.0002,0.0006,0.0029,0.0078,0.0005
cogent-004,0.0001,0.001,0.0014,0.0001,0.0002,0.0041,0.0078,0.0002
toshiba-003,0.0001,0.001,0.0014,0.0001,0.0005,0.003,0.0079,0.0004
pxl-001,0.0002,0.001,0.0031,0.0002,0.0004,0.0025,0.008,0.0004
dsk-000,0.0002,0.001,0.0055,0.0002,0.0001,0.0014,0.008,0.0001
dahua-005,0.0002,0.001,0.0021,0.0002,0.0005,0.0026,0.008,0.0005
nazhiai-000,0.0002,0.001,0.0022,0.0002,0.0005,0.0026,0.0081,0.0005
sertis-001,0.0005,0.001,0.0012,0.0002,0.0004,0.0018,0.0081,0.0003
cognitec-001,0.0002,0.001,0.0016,0.0002,0.0006,0.0023,0.0082,0.0006
itmo-007,0.0002,0.001,0.0016,0.0002,0.0006,0.0024,0.0083,0.0006
cognitec-000,0.0002,0.001,0.0016,0.0002,0.0006,0.0023,0.0083,0.0006
visionlabs-009,0.0002,0.001,0.0022,0.0002,0.0004,0.0024,0.0083,0.0004
cyberlink-005,0.0002,0.001,0.0017,0.0002,0.0007,0.0039,0.0083,0.0006
deepglint-001,0.0002,0.001,0.0026,0.0002,0.0005,0.0028,0.0083,0.0005
chtface-003,0.0002,0.001,0.0019,0.0002,0.0005,0.003,0.0084,0.0005
cogent-003,0.0001,0.001,0.0014,0.0001,0.0003,0.0045,0.0085,0.0003
alleyes-000,0.0002,0.001,0.0018,0.0002,0.0005,0.0027,0.0085,0.0005
xforwardai-001,0.0002,0.001,0.0026,0.0002,0.0005,0.0028,0.0086,0.0005
ntechlab-007,0.0003,0.001,0.0029,0.0003,0.0006,0.0024,0.0087,0.0006
gorilla-005,0.0001,0.001,0.002,0.0001,0.0004,0.003,0.0088,0.0004
dermalog-005,0.0002,0.001,0.0036,0.0001,0.0002,0.002,0.009,0.0002
chosun-000,0.0007,0.001,0.0148,0.0005,0.0002,0.0011,0.0091,0.0002
deepglint-002,0.0003,0.001,0.003,0.0003,0.0006,0.0035,0.0091,0.0006
gorilla-006,0.0001,0.001,0.0024,0.0001,0.0002,0.0025,0.0094,0.0002
kookmin-001,0.0002,0.001,0.002,0.0001,0.0004,0.0027,0.0095,0.0004
alphaface-002,0.0002,0.001,0.0024,0.0001,0.0005,0.0031,0.0096,0.0005
didiglobalface-001,0.0002,0.001,0.0024,0.0001,0.0005,0.003,0.0097,0.0005
dermalog-006,0.0002,0.001,0.0017,0.0002,0.0006,0.0029,0.0097,0.0006
iqface-000,0.0001,0.001,0.002,0.0001,0.0004,0.0024,0.0098,0.0004
id3-004,0.0002,0.001,0.0024,0.0002,0.0004,0.0029,0.0098,0.0004
cyberlink-004,0.0001,0.001,0.0018,0.0001,0.0004,0.0032,0.0099,0.0004
alphaface-001,0.0001,0.001,0.0019,0.0001,0.0004,0.0024,0.0099,0.0004
innovatrics-006,0.0001,0.001,0.0018,0.0001,0.0005,0.003,0.0099,0.0005
incode-007,0.0001,0.001,0.0016,0.0001,0.0004,0.003,0.0101,0.0004
sensetime-002,0.0003,0.001,0.0028,0.0002,0.0004,0.0026,0.0102,0.0004
cib-000,0.0002,0.001,0.0028,0.0002,0.0008,0.003,0.0102,0.0008
uluface-002,0.0002,0.001,0.0021,0.0002,0.0006,0.0029,0.0103,0.0006
yoonik-000,0.0001,0.001,0.0021,0.0002,0.0004,0.0025,0.0103,0.0004
vinai-000,0.0001,0.001,0.0018,0.0001,0.0004,0.0027,0.0104,0.0004
pixelall-004,0.0002,0.001,0.0023,0.0002,0.0005,0.0028,0.0104,0.0005
xforwardai-000,0.0002,0.001,0.0021,0.0001,0.0005,0.0028,0.0104,0.0005
synology-002,0.0001,0.001,0.0023,0.0001,0.0004,0.0029,0.0105,0.0005
neurotechnology-009,0.0001,0.001,0.0018,0.0001,0.0003,0.0023,0.0105,0.0003
microfocus-002,0.0003,0.001,0.0068,0.0002,0.0002,0.0014,0.0105,0.0002
lookman-004,0.0002,0.001,0.0019,0.0002,0.0004,0.0035,0.0106,0.0004
rokid-000,0.0001,0.001,0.0017,0.0001,0.0005,0.0027,0.0107,0.0005
3divi-004,0.0002,0.001,0.0034,0.0002,0.0004,0.002,0.0107,0.0004
isystems-001,0.0002,0.001,0.0022,0.0002,0.0006,0.003,0.0107,0.0006
isystems-002,0.0002,0.001,0.0021,0.0002,0.0006,0.003,0.0108,0.0006
acer-001,0.0001,0.001,0.0019,0.0001,0.0004,0.0037,0.0108,0.0004
