,acisw_003,,,bresee_000,,intellifusion_002,,,shaman_000,,,yitu_003,
,0.0001,0.0010,,0.0007,0.0010,0.0003,0.0010,,0.0011,0.0010,,0.0001,0.0010
,0.0005,0.0001,,0.0009,0.0007,0.0015,0.0003,,0.0018,0.0011,,0.0013,0.0001
0.0002,0.0044,,0.0011,0.0018,,0.0006 0.0016,,0.0015,0.0015,,0.0002,0.0021,
0.0014,0.0003,,0.0017,0.0010,,0.0020 0.0007,,0.0023,0.0015,,0.0024,0.0002,
,sjtu_002,,,rankone_009,,intellifusion_001,,,tongyi_005,,,realnetworks_003,
,0.0001,0.0010,,0.0002,0.0010,0.0004,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0009,0.0001,,0.0013,0.0002,0.0015,0.0004,,0.0023,0.0002,,0.0028,0.0002
0.0002,0.0016,,0.0002,0.0020,,0.0006 0.0019,,0.0003,0.0030,,0.0001,0.0013,
0.0026,0.0002,,0.0026,0.0003,,0.0027 0.0006,,0.0028,0.0003,,0.0029,0.0001,
,paravision_004,,,realnetworks_002,,intelresearch_001,,,shaman_001,,,cybercore_000,
,0.0002,0.0010,,0.0002,0.0010,0.0001,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0023,0.0001,,0.0024,0.0002,0.0015,0.0001,,0.0027,0.0002,,0.0007,0.0002
0.0001,0.0019,,0.0001,0.0015,,0.0001 0.0008,,0.0002,0.0017,,0.0006,0.0031,
0.0030,0.0002,,0.0031,0.0001,,0.0033 0.0002,,0.0038,0.0002,,0.0039,0.0007,
,rankone_008,,,ceiec_003,,vocord_008,,,aimall_003,,,sensetime_003,
,0.0002,0.0010,,0.0001,0.0010,0.0003,0.0010,,0.0004,0.0010,,0.0003,0.0010
,0.0015,0.0002,,0.0014,0.0001,0.0021,0.0003,,0.0019,0.0004,,0.0019,0.0003
0.0003,0.0022,,0.0002,0.0020,,0.0003 0.0017,,0.0006,0.0018,,0.0005,0.0018,
0.0039,0.0004,,0.0041,0.0002,,0.0042 0.0003,,0.0043,0.0006,,0.0044,0.0005,
,shu_003,,,psl_003,,intelresearch_002,,,bioidtechswiss_001,,,tech5_005,
,0.0004,0.0010,,0.0001,0.0010,0.0003,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0021,0.0003,,0.0008,0.0001,0.0017,0.0002,,0.0025,0.0002,,0.0025,0.0002
0.0005,0.0018,,0.0003,0.0023,,0.0004 0.0017,,0.0002,0.0025,,0.0002,0.0026,
0.0044,0.0005,,0.0045,0.0003,,0.0045 0.0005,,0.0046,0.0003,,0.0046,0.0003,
,psl_005,,,deepsea_001,,camvi_004,,,vocord_007,,,glory_001,
,0.0001,0.0010,,0.0003,0.0010,0.0004,0.0010,,0.0002,0.0010,,0.0004,0.0010
,0.0008,0.0001,,0.0019,0.0003,0.0018,0.0004,,0.0014,0.0001,,0.0015,0.0004
0.0004,0.0033,,0.0005,0.0022,,0.0007 0.0020,,0.0003,0.0029,,0.0010,0.0026,
0.0047,0.0004,,0.0048,0.0005,,0.0049 0.0007,,0.0050,0.0004,,0.0053,0.0011,
,oz_001,,,ceiec_002,,starhybrid_001,,,iqface_002,,,vigilantsolutions_008,
,0.0001,0.0010,,0.0002,0.0010,0.0004,0.0010,,0.0002,0.0010,,0.0003,0.0010
,0.0008,0.0001,,0.0024,0.0002,0.0017,0.0004,,0.0030,0.0002,,0.0012,0.0003
0.0003,0.0038,,0.0002,0.0024,,0.0009 0.0044,,0.0003,0.0017,,0.0007,0.0033,
0.0056,0.0003,,0.0057,0.0002,,0.0058 0.0009,,0.0058,0.0003,,0.0059,0.0008,
,microfocus_001,,,s1_001,,innovatrics_007,,,sjtu_001,,,ntechlab_008,
,0.0002,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0003,0.0010
,0.0063,0.0002,,0.0014,0.0002,0.0010,0.0002,,0.0023,0.0002,,0.0043,0.0003
0.0001,0.0009,,0.0003,0.0022,,0.0004 0.0014,,0.0003,0.0027,,0.0003,0.0023,
0.0059,0.0001,,0.0060,0.0003,,0.0061 0.0004,,0.0063,0.0003,,0.0064,0.0004,
,hik_001,,,facesoft_000,,adera_001,,,imperial_002,,,ptakuratsatu_000,
,0.0001,0.0010,,0.0002,0.0010,0.0001,0.0010,,0.0002,0.0010,,0.0001,0.0010
,0.0017,0.0001,,0.0032,0.0002,0.0033,0.0001,,0.0026,0.0002,,0.0011,0.0001
0.0003,0.0030,,0.0003,0.0018,,0.0001 0.0022,,0.0004,0.0019,,0.0004,0.0017,
0.0064,0.0003,,0.0065,0.0003,,0.0065 0.0001,,0.0065,0.0004,,0.0068,0.0004,
,awiros_001,,,vigilantsolutions_007,,bioidtechswiss_000,,,shu_002,,,idemia_006,
,0.0001,0.0010,,0.0002,0.0010,0.0003,0.0010,,0.0001,0.0010,,0.0002,0.0010
,0.0016,0.0001,,0.0015,0.0002,0.0043,0.0003,,0.0026,0.0001,,0.0028,0.0002
0.0002,0.0025,,0.0006,0.0032,,0.0003 0.0026,,0.0003,0.0044,,0.0004,0.0021,
0.0069,0.0002,,0.0070,0.0006,,0.0071 0.0003,,0.0072,0.0003,,0.0074,0.0004,
,cuhkee_001,,,ercacat_001,,imperial_000,,,dahua_004,,,cogent_004,
,0.0002,0.0010,,0.0002,0.0010,0.0003,0.0010,,0.0002,0.0010,,0.0001,0.0010
,0.0027,0.0001,,0.0027,0.0001,0.0041,0.0002,,0.0019,0.0002,,0.0014,0.0001
0.0003,0.0019,,0.0003,0.0019,,0.0003 0.0017,,0.0006,0.0029,,0.0002,0.0041,
0.0075,0.0003,,0.0076,0.0003,,0.0077 0.0003,,0.0078,0.0005,,0.0078,0.0002,
,toshiba_003,,,pxl_001,,dsk_000,,,dahua_005,,,nazhiai_000,
,0.0001,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0014,0.0001,,0.0031,0.0002,0.0055,0.0002,,0.0021,0.0002,,0.0022,0.0002
0.0005,0.0030,,0.0004,0.0025,,0.0001 0.0014,,0.0005,0.0026,,0.0005,0.0026,
0.0079,0.0004,,0.0080,0.0004,,0.0080 0.0001,,0.0080,0.0005,,0.0081,0.0005,
,sertis_001,,,cognitec_001,,itmo_007,,,cognitec_000,,,visionlabs_009,
,0.0005,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0012,0.0002,,0.0016,0.0002,0.0016,0.0002,,0.0016,0.0002,,0.0022,0.0002
0.0004,0.0018,,0.0006,0.0023,,0.0006 0.0024,,0.0006,0.0023,,0.0004,0.0024,
0.0081,0.0003,,0.0082,0.0006,,0.0083 0.0006,,0.0083,0.0006,,0.0083,0.0004,
,cyberlink_005,,,deepglint_001,,chtface_003,,,cogent_003,,,alleyes_000,
,0.0002,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0001,0.0010,,0.0002,0.0010
,0.0017,0.0002,,0.0026,0.0002,0.0019,0.0002,,0.0014,0.0001,,0.0018,0.0002
0.0007,0.0039,,0.0005,0.0028,,0.0005 0.0030,,0.0003,0.0045,,0.0005,0.0027,
0.0083,0.0006,,0.0083,0.0005,,0.0084 0.0005,,0.0085,0.0003,,0.0085,0.0005,
,xforwardai_001,,,ntechlab_007,,gorilla_005,,,dermalog_005,,,chosun_000,
,0.0002,0.0010,,0.0003,0.0010,0.0001,0.0010,,0.0002,0.0010,,0.0007,0.0010
,0.0026,0.0002,,0.0029,0.0003,0.0020,0.0001,,0.0036,0.0001,,0.0148,0.0005
0.0005,0.0028,,0.0006,0.0024,,0.0004 0.0030,,0.0002,0.0020,,0.0002,0.0011,
0.0086,0.0005,,0.0087,0.0006,,0.0088 0.0004,,0.0090,0.0002,,0.0091,0.0002,
,deepglint_002,,,gorilla_006,,kookmin_001,,,alphaface_002,,,didiglobalface_001,
,0.0003,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0030,0.0003,,0.0024,0.0001,0.0020,0.0001,,0.0024,0.0001,,0.0024,0.0001
0.0006,0.0035,,0.0002,0.0025,,0.0004 0.0027,,0.0005,0.0031,,0.0005,0.0030,
0.0091,0.0006,,0.0094,0.0002,,0.0095 0.0004,,0.0096,0.0005,,0.0097,0.0005,
,dermalog_006,,,iqface_000,,id3_004,,,cyberlink_004,,,alphaface_001,
,0.0002,0.0010,,0.0001,0.0010,0.0002,0.0010,,0.0001,0.0010,,0.0001,0.0010
,0.0017,0.0002,,0.0020,0.0001,0.0024,0.0002,,0.0018,0.0001,,0.0019,0.0001
0.0006,0.0029,,0.0004,0.0024,,0.0004 0.0029,,0.0004,0.0032,,0.0004,0.0024,
0.0097,0.0006,,0.0098,0.0004,,0.0098 0.0004,,0.0099,0.0004,,0.0099,0.0004,
