Name,"VisaMC, 1e-4","VisaMC, rank","Visa, 1e-6","Visa, rank","Mugshot, 1e-5","Mugshot, rank","Mugshot12+Yrs, 1e-5","Mugshot12+Yrs, rank","VisaBorder, 1e-6","VisaBorder, rank","Border, 1e-6","Border1e-6, rank","Border, 1e-5","Border1e-5, rank","Wild, 1e-4","Wild, rank","ChildExp, 1e-2","ChildExp, rank"
3divi-004,0.0095,86,0.0153,88,0.0097,99,0.0145,96,0.0175,98,0.0330,86,0.0242,113,0.0665,167,0.5025,23
3divi-005,0.0094,85,0.0151,86,0.0078,73,0.0121,70,0.0135,71,0.0231,61,0.0156,74,0.0351,118,,
acer-000,0.1393,208,0.9075,238,0.9981,238,,,1.0000,232,1.0000,224,0.9998,228,0.9841,233,,
acer-001,0.0294,175,0.0504,175,0.0240,171,0.0463,172,0.0436,167,0.0622,123,0.0360,141,0.0307,84,,
acisw-003,0.9682,244,0.9971,244,0.7892,233,0.8738,231,0.8752,225,0.8275,203,0.6698,216,0.4470,222,,
adera-001,0.1021,205,0.1757,202,0.1823,211,0.2967,209,0.1714,198,0.6357,184,0.1127,178,0.1965,199,0.7202,55
advance-002,0.0089,78,0.0137,78,0.0073,63,0.0115,65,0.0400,160,0.0722,129,0.0593,161,0.0498,151,,
aifirst-001,0.0119,109,0.0170,100,0.0084,82,0.0127,78,0.0131,68,0.0212,54,0.0138,61,0.0432,138,0.4301,16
aigen-001,0.0124,115,0.0219,125,0.0143,142,0.0217,132,0.0236,128,0.8960,206,0.3255,202,0.0681,168,,
ailabs-001,0.0158,144,0.0276,151,0.0192,160,0.0317,156,0.0352,153,0.0608,119,0.0434,149,0.0338,112,,
aimall-002,0.0119,108,0.0167,96,0.0224,166,0.0411,167,0.0233,124,0.0373,99,0.0235,110,0.0327,103,,
aimall-003,0.0033,12,0.0041,8,0.0033,12,0.0035,5,0.0056,13,0.0109,17,0.0087,21,0.0312,92,,
aiunionface-000,0.0104,93,0.0154,91,0.0082,80,0.0122,71,0.0141,74,0.0243,63,0.0169,80,0.0306,82,,
alchera-000,0.0165,147,0.0243,139,0.0125,130,0.0186,122,0.0204,113,0.0349,93,0.0243,115,0.0370,125,,
alchera-001,0.0183,153,0.0299,152,0.0142,139,0.0234,138,0.0239,130,0.0388,101,0.0267,124,0.0372,126,,
alleyes-000,0.0058,41,0.0090,48,0.0055,36,0.0087,46,0.0068,20,0.0105,15,0.0076,12,0.0282,31,,
allgovision-000,0.0346,181,0.0527,177,0.0232,168,0.0339,158,0.0372,158,0.0620,122,0.0443,151,0.0607,162,,
alphaface-001,0.0065,53,0.0097,54,0.0039,19,0.0063,24,0.0083,34,,,,,0.0280,20,,
alphaface-002,0.0052,32,0.0075,32,0.0030,4,0.0044,9,1.0000,235,0.0115,20,0.0084,19,0.0279,17,,
